Comment,Designator,Footprint,JLCPCB Part #
0.1uF,C1,C_0603_1608Metric,C1590
1uF,C2,C_0603_1608Metric,C5673
74HC245,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C5626
Header-Male-2mm_1x8,J1,PinHeader_1x08_P2.00mm_Vertical,
Header-Male-2mm_1x2,J2,PinHeader_1x02_P2.00mm_Vertical,
1k,R1-8,R_0603_1608Metric,C21190
red led,D1-8,LED_1206_3216Metric,C125086
