Comment,Designator,Footprint,JLCPCB Part #
blue led,D1-8,LED_1206_3216Metric,C125088
1k,R1-8,R_0603_1608Metric,C21190
10uF,C3,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C1-2,C_0603_1608Metric,C1590
74HC173,U1-2,SOIC-16_3.9x9.9mm_P1.27mm,C2677807
Header-Male-2mm_1x2,J1,PinHeader_1x02_P2.00mm_Vertical,
Header-Male-2mm_1x8,J3-4,PinHeader_1x08_P2.00mm_Vertical,
Header-Male-2mm_1x3,J2,PinHeader_1x03_P2.00mm_Vertical,
